tag,round_name,u0,xl,dvtshift,delta_wgaa,delta_tgaa,eot_0,loss,log_rmse_all,log_rmse_low,log_rmse_mid,rel_rmse_high,lin_rmse,max_rel_err_high,status
fit_c073,coarse,0.025,1.2e-08,0.04,0.0,0.0,1.05e-09,0.300573640193564,0.19984318674483798,0.289192906890516,0.16284236230682805,0.402921813794904,2.8835508522682314e-06,0.47551809041891296,ok
fit_c040,coarse,0.01,1.2e-08,0.0,0.0,0.0,9.5e-10,0.30391611424744613,0.2090798489948614,0.27915544377801355,0.1664130017718262,0.37934506101033894,2.481778802591786e-06,0.4276267966186296,ok
fit_c032,coarse,0.025,1.2e-08,0.0,0.0,0.0,9.000000000000001e-10,0.3353230394162365,0.19002396820079512,0.026102102131118538,0.2272522221479999,0.5811962848617654,4.402029950013666e-06,0.704357713342952,ok
fit_c012,coarse,0.025,1.2e-08,0.0,0.0,0.0,8.500000000000001e-10,0.3389343524249435,0.1879240289223613,0.06937224358740142,0.2172812124860571,0.604041294010329,4.518678404969686e-06,0.7272416756353559,ok
fit_l120,local,0.015,1.6e-08,-0.02,0.0,0.0,9.024999999999999e-10,0.34316590505950023,0.29506571812765786,0.508617033090361,0.1915365129479256,0.19240074772736948,1.2417803078282603e-06,0.24802003279895818,ok
fit_c020,coarse,0.01,1.2e-08,0.0,0.0,0.0,9.000000000000001e-10,0.3454808243089913,0.2527935347463219,0.3721668121633889,0.19413920649104152,0.37074915825067767,2.43248459010626e-06,0.4194030436964835,ok
fit_c052,coarse,0.025,1.2e-08,0.0,0.0,0.0,9.5e-10,0.346042112824914,0.20614456926137115,0.11824441499464161,0.2412443936736233,0.5595901742541713,4.296719656703359e-06,0.683463660815105,ok
fit_c065,coarse,0.015,1.2e-08,0.04,0.0,0.0,1.05e-09,0.35140797318503614,0.310796337939366,0.510489071847152,0.23382299418077623,0.16244654098268063,1.0901030391664041e-06,0.2092039190064285,ok
fit_l106,local,0.012,1.2e-08,0.02,0.0,-1e-09,9.024999999999999e-10,0.36520587941194427,0.29295451244246995,0.46633457440134135,0.22046453556252785,0.2890054678778973,1.9028880491229206e-06,0.33881026505945144,ok
fit_c077,coarse,0.03,1.2e-08,0.04,0.0,0.0,1.05e-09,0.37890360688934505,0.20843861383503345,0.21035955933171338,0.20041210916613417,0.6818599722172464,4.816702425689915e-06,0.7700247355733285,ok
fit_c049,coarse,0.02,1.2e-08,0.04,0.0,0.0,9.5e-10,0.3800637775816751,0.34197626099146033,0.5793366086777175,0.24092288852541807,0.15235006636085902,1.1146727830693664e-06,0.20389540755690125,ok
fit_c000,coarse,0.01,1.2e-08,0.0,0.0,0.0,8.500000000000001e-10,0.39065666469474336,0.3002669653339943,0.4657897934478589,0.224890223937373,0.3615587974429964,2.3801890117508415e-06,0.4107187606106971,ok
fit_c072,coarse,0.025,1.2e-08,0.0,0.0,0.0,1.05e-09,0.39678501454234427,0.2666182535853218,0.3025975031088653,0.2765666700867849,0.5206670438280897,4.116155189773993e-06,0.644660420406246,ok
fit_c053,coarse,0.025,1.2e-08,0.04,0.0,0.0,9.5e-10,0.407963712127619,0.2988331026775972,0.48265655011117414,0.21628693554920977,0.43652243780008715,3.045846249592177e-06,0.5043717820049873,ok
fit_l086,local,0.012,1.6e-08,-0.02,0.0,-1e-09,9.024999999999999e-10,0.4137538420359264,0.3218436478469272,0.5075437855674434,0.2361458690816605,0.3676407767559968,2.4291182980249395e-06,0.41473195203670454,ok
fit_l104,local,0.012,1.2e-08,0.02,0.0,0.0,9.024999999999999e-10,0.4311552435394062,0.3626453105465322,0.5903992060526171,0.270016717608359,0.27403973197149606,1.8265524170522013e-06,0.32170485898138756,ok
fit_c029,coarse,0.02,1.2e-08,0.04,0.0,0.0,9.000000000000001e-10,0.4414677552565748,0.39975312423090475,0.6767967877423876,0.2825764519396749,0.16685852410268004,1.1945141022627472e-06,0.21682982102652087,ok
fit_c045,coarse,0.015,1.2e-08,0.04,0.0,0.0,9.5e-10,0.4600560554238638,0.4245155279338949,0.703996962790329,0.3165147938339992,0.1421621099598756,1.0092373602170713e-06,0.1881511115257344,ok
fit_l084,local,0.012,1.6e-08,-0.02,0.0,0.0,9.024999999999999e-10,0.4616661702629571,0.3735979538361333,0.6052826575010086,0.27037647599800657,0.35227286570729505,2.3401822063359118e-06,0.39861339630929815,ok
fit_c057,coarse,0.03,1.2e-08,0.04,0.0,0.0,9.5e-10,0.46451003017407666,0.28388453936357216,0.40374162080010634,0.22675054288674956,0.7225019632420181,5.010385314191925e-06,0.8048481564530734,ok
fit_c033,coarse,0.025,1.2e-08,0.04,0.0,0.0,9.000000000000001e-10,0.4666150435779589,0.3528156999781966,0.5801236456117077,0.2504579090061149,0.45519737439904906,3.1410199414281683e-06,0.5202910601214422,ok
fit_c016,coarse,0.03,1.2e-08,0.0,0.0,0.0,8.500000000000001e-10,0.479831609345633,0.2490438005717806,0.015716042935088905,0.29001756443694493,0.9231512350954096,6.774150071244626e-06,1.0724910197859714,ok
fit_c036,coarse,0.03,1.2e-08,0.0,0.0,0.0,9.000000000000001e-10,0.4849337812017084,0.2611151099648358,0.1043213680737101,0.3032872398576342,0.8952746849474905,6.629689140723691e-06,1.0446322830821755,ok
fit_c056,coarse,0.03,1.2e-08,0.0,0.0,0.0,9.5e-10,0.49994567737376483,0.28257415192745566,0.19714597224304786,0.3190866022533164,0.8694861017852367,6.500231508666904e-06,1.0187634561429362,ok
fit_c009,coarse,0.02,1.2e-08,0.04,0.0,0.0,8.500000000000001e-10,0.5039239251951516,0.4583094841518389,0.7745868067467633,0.3258527958117209,0.18245776417325074,1.284241800455667e-06,0.23075918937841894,ok
fit_c025,coarse,0.015,1.2e-08,0.04,0.0,0.0,9.000000000000001e-10,0.5154123108268635,0.48265793509366917,0.8014703540596624,0.35987101472445915,0.1310175029327772,9.700561486205656e-07,0.176308907317844,ok
fit_c037,coarse,0.03,1.2e-08,0.04,0.0,0.0,9.000000000000001e-10,0.5171165330544909,0.33091343324505523,0.501199661663336,0.2502096116724091,0.7448123992377428,5.12204033589188e-06,0.8237522992163636,ok
