noise_v,q_v,qb_v,gq_v,gqb_v
0.05,0.1645,0.696,0.2145,0.646
0.051,0.1648,0.6959,0.2158,0.6449
0.052,0.1651,0.6957,0.2171,0.6437
0.053,0.1654,0.6955,0.2184,0.6425
0.054,0.1656,0.6954,0.2196,0.6414
0.055,0.1659,0.6952,0.2209,0.6402
0.056,0.1662,0.695,0.2222,0.639
0.057,0.1665,0.6948,0.2235,0.6378
0.058,0.1668,0.6946,0.2248,0.6366
0.059,0.1671,0.6944,0.2261,0.6354
0.06,0.1674,0.6942,0.2274,0.6342
0.061,0.1677,0.694,0.2287,0.633
0.062,0.168,0.6938,0.23,0.6318
0.063,0.1683,0.6936,0.2313,0.6306
0.064,0.1687,0.6933,0.2327,0.6293
0.065,0.169,0.6931,0.234,0.6281
0.066,0.1693,0.6928,0.2353,0.6268
0.067,0.1697,0.6925,0.2367,0.6255
0.068,0.17,0.6923,0.238,0.6243
0.069,0.1704,0.692,0.2394,0.623
0.07,0.1707,0.6917,0.2407,0.6217
0.071,0.1711,0.6914,0.2421,0.6204
0.072,0.1714,0.691,0.2434,0.619
0.073,0.1718,0.6907,0.2448,0.6177
0.074,0.1722,0.6904,0.2462,0.6164
0.075,0.1726,0.69,0.2476,0.615
0.076,0.173,0.6896,0.249,0.6136
0.077,0.1734,0.6892,0.2504,0.6122
0.078,0.1738,0.6888,0.2518,0.6108
0.079,0.1743,0.6884,0.2533,0.6094
0.08,0.1747,0.6879,0.2547,0.6079
0.081,0.1751,0.6875,0.2561,0.6065
0.082,0.1756,0.687,0.2576,0.605
0.083,0.1761,0.6865,0.2591,0.6035
0.084,0.1766,0.6859,0.2606,0.6019
0.085,0.1771,0.6854,0.2621,0.6004
0.086,0.1776,0.6848,0.2636,0.5988
0.087,0.1781,0.6842,0.2651,0.5972
0.088,0.1787,0.6835,0.2667,0.5955
0.089,0.1792,0.6829,0.2682,0.5939
0.09,0.1798,0.6822,0.2698,0.5922
0.091,0.1804,0.6814,0.2714,0.5904
0.092,0.181,0.6806,0.273,0.5886
0.093,0.1817,0.6798,0.2747,0.5868
0.094,0.1824,0.6789,0.2764,0.5849
0.095,0.1831,0.6779,0.2781,0.5829
0.096,0.1839,0.6769,0.2799,0.5809
0.097,0.1847,0.6758,0.2817,0.5788
0.098,0.1855,0.6746,0.2835,0.5766
0.099,0.1864,0.6733,0.2854,0.5743
0.1,0.1874,0.6718,0.2874,0.5718
0.101,0.1884,0.6703,0.2894,0.5693
0.102,0.1896,0.6685,0.2916,0.5665
0.103,0.1909,0.6665,0.2939,0.5635
0.104,0.1923,0.6641,0.2963,0.5601
0.105,0.1941,0.6612,0.2991,0.5562
0.106,0.1963,0.6575,0.3023,0.5515
0.107,0.1998,0.6513,0.3068,0.5443
0.108,0.7,0.1404,0.808,0.03242
0.109,0.7,0.1403,0.809,0.03133
0.11,0.7,0.1402,0.81,0.03023
0.111,0.7,0.1401,0.811,0.02914
0.112,0.7,0.14,0.812,0.02804
0.113,0.7,0.14,0.813,0.02695
0.114,0.7,0.1399,0.814,0.02586
0.115,0.7,0.1398,0.815,0.02477
0.116,0.7,0.1397,0.816,0.02367
0.117,0.7,0.1396,0.817,0.02258
0.118,0.7,0.1395,0.818,0.02149
0.119,0.7,0.1394,0.819,0.0204
0.12,0.7,0.1393,0.82,0.01931
0.121,0.7,0.1392,0.821,0.01822
0.122,0.7,0.1391,0.822,0.01713
0.123,0.7,0.139,0.823,0.01604
0.124,0.7,0.139,0.824,0.01496
0.125,0.7,0.1389,0.825,0.01387
0.126,0.7,0.1388,0.826,0.01278
0.127,0.7,0.1387,0.827,0.01169
0.128,0.7,0.1386,0.828,0.0106
0.129,0.7,0.1385,0.829,0.009518
0.13,0.7,0.1384,0.83,0.008432
0.131,0.7,0.1383,0.831,0.007346
0.132,0.7,0.1383,0.832,0.00626
0.133,0.7,0.1382,0.833,0.005175
0.134,0.7,0.1381,0.834,0.00409
0.135,0.7,0.138,0.835,0.003005
0.136,0.7,0.1379,0.836,0.001921
0.137,0.7,0.1378,0.837,0.0008375
0.138,0.7,0.1378,0.838,-0.0002459
0.139,0.7,0.1377,0.839,-0.001329
0.14,0.7,0.1376,0.84,-0.002412
0.141,0.7,0.1375,0.841,-0.003494
0.142,0.7,0.1374,0.842,-0.004576
0.143,0.7,0.1373,0.843,-0.005658
0.144,0.7,0.1373,0.844,-0.006739
0.145,0.7,0.1372,0.845,-0.00782
0.146,0.7,0.1371,0.846,-0.008901
0.147,0.7,0.137,0.847,-0.009981
0.148,0.7,0.1369,0.848,-0.01106
0.149,0.7,0.1369,0.849,-0.01214
0.15,0.7,0.1368,0.85,-0.01322
0.151,0.7,0.1367,0.851,-0.0143
0.152,0.7,0.1366,0.852,-0.01538
0.153,0.7,0.1365,0.853,-0.01646
0.154,0.7,0.1365,0.854,-0.01753
0.155,0.7,0.1364,0.855,-0.01861
0.156,0.7,0.1363,0.856,-0.01969
0.157,0.7,0.1362,0.857,-0.02077
0.158,0.7,0.1362,0.858,-0.02184
0.159,0.7,0.1361,0.859,-0.02292
0.16,0.7,0.136,0.86,-0.024
0.161,0.7,0.1359,0.861,-0.02507
0.162,0.7,0.1359,0.862,-0.02615
0.163,0.7,0.1358,0.863,-0.02722
0.164,0.7,0.1357,0.864,-0.0283
0.165,0.7,0.1356,0.865,-0.02937
0.166,0.7,0.1356,0.866,-0.03045
0.167,0.7,0.1355,0.867,-0.03152
0.168,0.7,0.1354,0.868,-0.0326
0.169,0.7,0.1353,0.869,-0.03367
0.17,0.7,0.1353,0.87,-0.03474
0.171,0.7,0.1352,0.871,-0.03582
0.172,0.7,0.1351,0.872,-0.03689
0.173,0.7,0.135,0.873,-0.03796
0.174,0.7,0.135,0.874,-0.03903
0.175,0.7,0.1349,0.875,-0.0401
0.176,0.7,0.1348,0.876,-0.04118
0.177,0.7,0.1348,0.877,-0.04225
0.178,0.7,0.1347,0.878,-0.04332
0.179,0.7,0.1346,0.879,-0.04439
0.18,0.7,0.1345,0.88,-0.04546
0.181,0.7,0.1345,0.881,-0.04653
0.182,0.7,0.1344,0.882,-0.0476
0.183,0.7,0.1343,0.883,-0.04867
0.184,0.7,0.1343,0.884,-0.04974
0.185,0.7,0.1342,0.885,-0.05081
0.186,0.7,0.1341,0.886,-0.05188
0.187,0.7,0.1341,0.887,-0.05294
0.188,0.7,0.134,0.888,-0.05401
0.189,0.7,0.1339,0.889,-0.05508
0.19,0.7,0.1339,0.89,-0.05615
0.191,0.7,0.1338,0.891,-0.05722
0.192,0.7,0.1337,0.892,-0.05828
0.193,0.7,0.1336,0.893,-0.05935
0.194,0.7,0.1336,0.894,-0.06042
0.195,0.7,0.1335,0.895,-0.06148
0.196,0.7,0.1334,0.896,-0.06255
0.197,0.7,0.1334,0.897,-0.06362
0.198,0.7,0.1333,0.898,-0.06468
0.199,0.7,0.1333,0.899,-0.06575
0.2,0.7,0.1332,0.9,-0.06681
0.201,0.7,0.1331,0.901,-0.06788
0.202,0.7,0.1331,0.902,-0.06894
0.203,0.7,0.133,0.903,-0.07001
0.204,0.7,0.1329,0.904,-0.07107
0.205,0.7,0.1329,0.905,-0.07214
0.206,0.7,0.1328,0.906,-0.0732
0.207,0.7,0.1327,0.907,-0.07426
0.208,0.7,0.1327,0.908,-0.07533
0.209,0.7,0.1326,0.909,-0.07639
0.21,0.7,0.1325,0.91,-0.07745
0.211,0.7,0.1325,0.911,-0.07852
0.212,0.7,0.1324,0.912,-0.07958
0.213,0.7,0.1324,0.913,-0.08064
0.214,0.7,0.1323,0.914,-0.0817
0.215,0.7,0.1322,0.915,-0.08276
0.216,0.7,0.1322,0.916,-0.08383
0.217,0.7,0.1321,0.917,-0.08489
0.218,0.7,0.1321,0.918,-0.08595
0.219,0.7,0.132,0.919,-0.08701
0.22,0.7,0.1319,0.92,-0.08807
0.221,0.7,0.1319,0.921,-0.08913
0.222,0.7,0.1318,0.922,-0.09019
0.223,0.7,0.1317,0.923,-0.09125
0.224,0.7,0.1317,0.924,-0.09231
0.225,0.7,0.1316,0.925,-0.09337
0.226,0.7,0.1316,0.926,-0.09443
0.227,0.7,0.1315,0.927,-0.09549
0.228,0.7,0.1315,0.928,-0.09655
0.229,0.7,0.1314,0.929,-0.09761
0.23,0.7,0.1313,0.93,-0.09867
0.231,0.7,0.1313,0.931,-0.09973
0.232,0.7,0.1312,0.932,-0.1008
0.233,0.7,0.1312,0.933,-0.1018
0.234,0.7,0.1311,0.934,-0.1029
0.235,0.7,0.131,0.935,-0.104
0.236,0.7,0.131,0.936,-0.105
0.237,0.7,0.1309,0.937,-0.1061
0.238,0.7,0.1309,0.938,-0.1071
0.239,0.7,0.1308,0.939,-0.1082
0.24,0.7,0.1308,0.94,-0.1092
0.241,0.7,0.1307,0.941,-0.1103
0.242,0.7,0.1306,0.942,-0.1114
0.243,0.7,0.1306,0.943,-0.1124
0.244,0.7,0.1305,0.944,-0.1135
0.245,0.7,0.1305,0.945,-0.1145
0.246,0.7,0.1304,0.946,-0.1156
0.247,0.7,0.1304,0.947,-0.1166
0.248,0.7,0.1303,0.948,-0.1177
0.249,0.7,0.1303,0.949,-0.1187
0.25,0.7,0.1302,0.95,-0.1198
0.251,0.7,0.1301,0.951,-0.1209
0.252,0.7,0.1301,0.952,-0.1219
0.253,0.7,0.13,0.953,-0.123
0.254,0.7,0.13,0.954,-0.124
0.255,0.7,0.1299,0.955,-0.1251
0.256,0.7,0.1299,0.956,-0.1261
0.257,0.7,0.1298,0.957,-0.1272
0.258,0.7,0.1298,0.958,-0.1282
0.259,0.7,0.1297,0.959,-0.1293
0.26,0.7,0.1297,0.96,-0.1303
0.261,0.7,0.1296,0.961,-0.1314
0.262,0.7,0.1296,0.962,-0.1324
0.263,0.7,0.1295,0.963,-0.1335
0.264,0.7,0.1295,0.964,-0.1345
0.265,0.7,0.1294,0.965,-0.1356
0.266,0.7,0.1294,0.966,-0.1366
0.267,0.7,0.1293,0.967,-0.1377
0.268,0.7,0.1292,0.968,-0.1388
0.269,0.7,0.1292,0.969,-0.1398
0.27,0.7,0.1291,0.97,-0.1409
0.271,0.7,0.1291,0.971,-0.1419
0.272,0.7,0.129,0.972,-0.143
0.273,0.7,0.129,0.973,-0.144
0.274,0.7,0.1289,0.974,-0.1451
0.275,0.7,0.1289,0.975,-0.1461
0.276,0.7,0.1288,0.976,-0.1472
0.277,0.7,0.1288,0.977,-0.1482
0.278,0.7,0.1287,0.978,-0.1493
0.279,0.7,0.1287,0.979,-0.1503
0.28,0.7,0.1286,0.98,-0.1514
0.281,0.7,0.1286,0.981,-0.1524
0.282,0.7,0.1285,0.982,-0.1535
0.283,0.7,0.1285,0.983,-0.1545
0.284,0.7,0.1284,0.984,-0.1556
0.285,0.7,0.1284,0.985,-0.1566
0.286,0.7,0.1283,0.986,-0.1577
0.287,0.7,0.1283,0.987,-0.1587
0.288,0.7,0.1282,0.988,-0.1598
0.289,0.7,0.1282,0.989,-0.1608
0.29,0.7,0.1282,0.99,-0.1618
0.291,0.7,0.1281,0.991,-0.1629
0.292,0.7,0.1281,0.992,-0.1639
0.293,0.7,0.128,0.993,-0.165
0.294,0.7,0.128,0.994,-0.166
0.295,0.7,0.1279,0.995,-0.1671
0.296,0.7,0.1279,0.996,-0.1681
0.297,0.7,0.1278,0.997,-0.1692
0.298,0.7,0.1278,0.998,-0.1702
0.299,0.7,0.1277,0.999,-0.1713
0.3,0.7,0.1277,1.0,-0.1723
0.301,0.7,0.1276,1.001,-0.1734
0.302,0.7,0.1276,1.002,-0.1744
0.303,0.7,0.1275,1.003,-0.1755
0.304,0.7,0.1275,1.004,-0.1765
0.305,0.7,0.1274,1.005,-0.1776
0.306,0.7,0.1274,1.006,-0.1786
0.307,0.7,0.1274,1.007,-0.1796
0.308,0.7,0.1273,1.008,-0.1807
0.309,0.7,0.1273,1.009,-0.1817
0.31,0.7,0.1272,1.01,-0.1828
0.311,0.7,0.1272,1.011,-0.1838
0.312,0.7,0.1271,1.012,-0.1849
0.313,0.7,0.1271,1.013,-0.1859
0.314,0.7,0.127,1.014,-0.187
0.315,0.7,0.127,1.015,-0.188
0.316,0.7,0.127,1.016,-0.189
0.317,0.7,0.1269,1.017,-0.1901
0.318,0.7,0.1269,1.018,-0.1911
0.319,0.7,0.1268,1.019,-0.1922
0.32,0.7,0.1268,1.02,-0.1932
0.321,0.7,0.1267,1.021,-0.1943
0.322,0.7,0.1267,1.022,-0.1953
0.323,0.7,0.1266,1.023,-0.1964
0.324,0.7,0.1266,1.024,-0.1974
0.325,0.7,0.1266,1.025,-0.1984
0.326,0.7,0.1265,1.026,-0.1995
0.327,0.7,0.1265,1.027,-0.2005
0.328,0.7,0.1264,1.028,-0.2016
0.329,0.7,0.1264,1.029,-0.2026
0.33,0.7,0.1263,1.03,-0.2037
0.331,0.7,0.1263,1.031,-0.2047
0.332,0.7,0.1263,1.032,-0.2057
0.333,0.7,0.1262,1.033,-0.2068
0.334,0.7,0.1262,1.034,-0.2078
0.335,0.7,0.1261,1.035,-0.2089
0.336,0.7,0.1261,1.036,-0.2099
0.337,0.7,0.126,1.037,-0.211
0.338,0.7,0.126,1.038,-0.212
0.339,0.7,0.126,1.039,-0.213
0.34,0.7,0.1259,1.04,-0.2141
0.341,0.7,0.1259,1.041,-0.2151
0.342,0.7,0.1258,1.042,-0.2162
0.343,0.7,0.1258,1.043,-0.2172
0.344,0.7,0.1258,1.044,-0.2182
0.345,0.7,0.1257,1.045,-0.2193
0.346,0.7,0.1257,1.046,-0.2203
0.347,0.7,0.1256,1.047,-0.2214
0.348,0.7,0.1256,1.048,-0.2224
0.349,0.7,0.1256,1.049,-0.2234
0.35,0.7,0.1255,1.05,-0.2245
0.351,0.7,0.1255,1.051,-0.2255
0.352,0.7,0.1254,1.052,-0.2266
0.353,0.7,0.1254,1.053,-0.2276
0.354,0.7,0.1254,1.054,-0.2286
0.355,0.7,0.1253,1.055,-0.2297
0.356,0.7,0.1253,1.056,-0.2307
0.357,0.7,0.1252,1.057,-0.2318
0.358,0.7,0.1252,1.058,-0.2328
0.359,0.7,0.1252,1.059,-0.2338
0.36,0.7,0.1251,1.06,-0.2349
0.361,0.7,0.1251,1.061,-0.2359
0.362,0.7,0.125,1.062,-0.237
0.363,0.7,0.125,1.063,-0.238
0.364,0.7,0.125,1.064,-0.239
0.365,0.7,0.1249,1.065,-0.2401
0.366,0.7,0.1249,1.066,-0.2411
0.367,0.7,0.1248,1.067,-0.2422
0.368,0.7,0.1248,1.068,-0.2432
0.369,0.7,0.1248,1.069,-0.2442
0.37,0.7,0.1247,1.07,-0.2453
0.371,0.7,0.1247,1.071,-0.2463
0.372,0.7,0.1247,1.072,-0.2473
0.373,0.7,0.1246,1.073,-0.2484
0.374,0.7,0.1246,1.074,-0.2494
0.375,0.7,0.1245,1.075,-0.2505
0.376,0.7,0.1245,1.076,-0.2515
0.377,0.7,0.1245,1.077,-0.2525
0.378,0.7,0.1244,1.078,-0.2536
0.379,0.7,0.1244,1.079,-0.2546
0.38,0.7,0.1244,1.08,-0.2556
0.381,0.7,0.1243,1.081,-0.2567
0.382,0.7,0.1243,1.082,-0.2577
0.383,0.7,0.1242,1.083,-0.2588
0.384,0.7,0.1242,1.084,-0.2598
0.385,0.7,0.1242,1.085,-0.2608
0.386,0.7,0.1241,1.086,-0.2619
0.387,0.7,0.1241,1.087,-0.2629
0.388,0.7,0.1241,1.088,-0.2639
0.389,0.7,0.124,1.089,-0.265
0.39,0.7,0.124,1.09,-0.266
0.391,0.7,0.124,1.091,-0.267
0.392,0.7,0.1239,1.092,-0.2681
0.393,0.7,0.1239,1.093,-0.2691
0.394,0.7,0.1238,1.094,-0.2702
0.395,0.7,0.1238,1.095,-0.2712
0.396,0.7,0.1238,1.096,-0.2722
0.397,0.7,0.1237,1.097,-0.2733
0.398,0.7,0.1237,1.098,-0.2743
0.399,0.7,0.1237,1.099,-0.2753
0.4,0.7,0.1236,1.1,-0.2764
0.401,0.7,0.1236,1.101,-0.2774
0.402,0.7,0.1236,1.102,-0.2784
0.403,0.7,0.1235,1.103,-0.2795
0.404,0.7,0.1235,1.104,-0.2805
0.405,0.7,0.1235,1.105,-0.2815
0.406,0.7,0.1234,1.106,-0.2826
0.407,0.7,0.1234,1.107,-0.2836
0.408,0.7,0.1234,1.108,-0.2846
0.409,0.7,0.1233,1.109,-0.2857
0.41,0.7,0.1233,1.11,-0.2867
0.411,0.7,0.1233,1.111,-0.2877
0.412,0.7,0.1232,1.112,-0.2888
0.413,0.7,0.1232,1.113,-0.2898
0.414,0.7,0.1232,1.114,-0.2908
0.415,0.7,0.1231,1.115,-0.2919
0.416,0.7,0.1231,1.116,-0.2929
0.417,0.7,0.1231,1.117,-0.2939
0.418,0.7,0.123,1.118,-0.295
0.419,0.7,0.123,1.119,-0.296
0.42,0.7,0.123,1.12,-0.297
0.421,0.7,0.1229,1.121,-0.2981
0.422,0.7,0.1229,1.122,-0.2991
0.423,0.7,0.1229,1.123,-0.3001
0.424,0.7,0.1228,1.124,-0.3012
0.425,0.7,0.1228,1.125,-0.3022
0.426,0.7,0.1228,1.126,-0.3032
0.427,0.7,0.1227,1.127,-0.3043
0.428,0.7,0.1227,1.128,-0.3053
0.429,0.7,0.1227,1.129,-0.3063
0.43,0.7,0.1226,1.13,-0.3074
0.431,0.7,0.1226,1.131,-0.3084
0.432,0.7,0.1226,1.132,-0.3094
0.433,0.7,0.1225,1.133,-0.3105
0.434,0.7,0.1225,1.134,-0.3115
0.435,0.7,0.1225,1.135,-0.3125
0.436,0.7,0.1224,1.136,-0.3136
0.437,0.7,0.1224,1.137,-0.3146
0.438,0.7,0.1224,1.138,-0.3156
0.439,0.7,0.1223,1.139,-0.3167
0.44,0.7,0.1223,1.14,-0.3177
0.441,0.7,0.1223,1.141,-0.3187
0.442,0.7,0.1222,1.142,-0.3198
0.443,0.7,0.1222,1.143,-0.3208
0.444,0.7,0.1222,1.144,-0.3218
0.445,0.7,0.1221,1.145,-0.3229
0.446,0.7,0.1221,1.146,-0.3239
0.447,0.7,0.1221,1.147,-0.3249
0.448,0.7,0.122,1.148,-0.326
0.449,0.7,0.122,1.149,-0.327
0.45,0.7,0.122,1.15,-0.328
0.451,0.7,0.122,1.151,-0.329
0.452,0.7,0.1219,1.152,-0.3301
0.453,0.7,0.1219,1.153,-0.3311
0.454,0.7,0.1219,1.154,-0.3321
0.455,0.7,0.1218,1.155,-0.3332
0.456,0.7,0.1218,1.156,-0.3342
0.457,0.7,0.1218,1.157,-0.3352
0.458,0.7,0.1217,1.158,-0.3363
0.459,0.7,0.1217,1.159,-0.3373
0.46,0.7,0.1217,1.16,-0.3383
0.461,0.7,0.1216,1.161,-0.3394
0.462,0.7,0.1216,1.162,-0.3404
0.463,0.7,0.1216,1.163,-0.3414
0.464,0.7,0.1216,1.164,-0.3424
0.465,0.7,0.1215,1.165,-0.3435
0.466,0.7,0.1215,1.166,-0.3445
0.467,0.7,0.1215,1.167,-0.3455
0.468,0.7,0.1214,1.168,-0.3466
0.469,0.7,0.1214,1.169,-0.3476
0.47,0.7,0.1214,1.17,-0.3486
0.471,0.7,0.1213,1.171,-0.3497
0.472,0.7,0.1213,1.172,-0.3507
0.473,0.7,0.1213,1.173,-0.3517
0.474,0.7,0.1213,1.174,-0.3527
0.475,0.7,0.1212,1.175,-0.3538
0.476,0.7,0.1212,1.176,-0.3548
0.477,0.7,0.1212,1.177,-0.3558
0.478,0.7,0.1211,1.178,-0.3569
0.479,0.7,0.1211,1.179,-0.3579
0.48,0.7,0.1211,1.18,-0.3589
0.481,0.7,0.1211,1.181,-0.3599
0.482,0.7,0.121,1.182,-0.361
0.483,0.7,0.121,1.183,-0.362
0.484,0.7,0.121,1.184,-0.363
0.485,0.7,0.1209,1.185,-0.3641
0.486,0.7,0.1209,1.186,-0.3651
0.487,0.7,0.1209,1.187,-0.3661
0.488,0.7,0.1209,1.188,-0.3671
0.489,0.7,0.1208,1.189,-0.3682
0.49,0.7,0.1208,1.19,-0.3692
0.491,0.7,0.1208,1.191,-0.3702
0.492,0.7,0.1207,1.192,-0.3713
0.493,0.7,0.1207,1.193,-0.3723
0.494,0.7,0.1207,1.194,-0.3733
0.495,0.7,0.1207,1.195,-0.3743
0.496,0.7,0.1206,1.196,-0.3754
0.497,0.7,0.1206,1.197,-0.3764
0.498,0.7,0.1206,1.198,-0.3774
0.499,0.7,0.1205,1.199,-0.3785
0.5,0.7,0.1205,1.2,-0.3795
