sweep_v,bl_v,q_v,qb_v
0.379,0.379,0.6725,0.1607
0.378,0.378,0.6721,0.1608
0.377,0.377,0.6717,0.1609
0.376,0.376,0.6712,0.1609
0.375,0.375,0.6708,0.161
0.374,0.374,0.6704,0.1611
0.373,0.373,0.67,0.1612
0.372,0.372,0.6695,0.1613
0.371,0.371,0.6691,0.1614
0.37,0.37,0.6686,0.1615
0.369,0.369,0.6682,0.1615
0.368,0.368,0.6677,0.1616
0.367,0.367,0.6673,0.1617
0.366,0.366,0.6668,0.1618
0.365,0.365,0.6663,0.1619
0.364,0.364,0.6658,0.162
0.363,0.363,0.6654,0.1621
0.362,0.362,0.6649,0.1622
0.361,0.361,0.6644,0.1623
0.36,0.36,0.6639,0.1624
0.359,0.359,0.6634,0.1625
0.358,0.358,0.6629,0.1626
0.357,0.357,0.6624,0.1627
0.356,0.356,0.6619,0.1628
0.355,0.355,0.6614,0.1629
0.354,0.354,0.6608,0.163
0.353,0.353,0.6603,0.1632
0.352,0.352,0.6598,0.1633
0.351,0.351,0.6592,0.1634
0.35,0.35,0.6587,0.1635
0.349,0.349,0.6581,0.1636
0.348,0.348,0.6576,0.1637
0.347,0.347,0.657,0.1639
0.346,0.346,0.6565,0.164
0.345,0.345,0.6559,0.1641
0.344,0.344,0.6553,0.1642
0.343,0.343,0.6547,0.1644
0.342,0.342,0.6541,0.1645
0.341,0.341,0.6535,0.1646
0.34,0.34,0.6529,0.1647
0.339,0.339,0.6523,0.1649
0.338,0.338,0.6517,0.165
0.337,0.337,0.6511,0.1652
0.336,0.336,0.6505,0.1653
0.335,0.335,0.6499,0.1654
0.334,0.334,0.6492,0.1656
0.333,0.333,0.6486,0.1657
0.332,0.332,0.6479,0.1659
0.331,0.331,0.6473,0.166
0.33,0.33,0.6466,0.1662
0.329,0.329,0.646,0.1663
0.328,0.328,0.6453,0.1665
0.327,0.327,0.6446,0.1666
0.326,0.326,0.6439,0.1668
0.325,0.325,0.6432,0.167
0.324,0.324,0.6425,0.1671
0.323,0.323,0.6418,0.1673
0.322,0.322,0.6411,0.1675
0.321,0.321,0.6404,0.1676
0.32,0.32,0.6397,0.1678
0.319,0.319,0.6389,0.168
0.318,0.318,0.6382,0.1682
0.317,0.317,0.6374,0.1684
0.316,0.316,0.6367,0.1685
0.315,0.315,0.6359,0.1687
