noise_v,q_v,qb_v,gq_v,gqb_v
0.195,0.1335,0.7,-0.06148,0.895
0.196,0.1334,0.7,-0.06255,0.896
0.197,0.1334,0.7,-0.06362,0.897
0.198,0.1333,0.7,-0.06468,0.898
0.199,0.1333,0.7,-0.06575,0.899
0.2,0.1332,0.7,-0.06681,0.9
0.201,0.1331,0.7,-0.06788,0.901
0.202,0.1331,0.7,-0.06894,0.902
0.203,0.133,0.7,-0.07001,0.903
0.204,0.1329,0.7,-0.07107,0.904
0.205,0.1329,0.7,-0.07214,0.905
0.206,0.1328,0.7,-0.0732,0.906
0.207,0.1327,0.7,-0.07426,0.907
0.208,0.1327,0.7,-0.07533,0.908
0.209,0.1326,0.7,-0.07639,0.909
0.21,0.1325,0.7,-0.07745,0.91
0.211,0.1325,0.7,-0.07852,0.911
0.212,0.1324,0.7,-0.07958,0.912
0.213,0.1324,0.7,-0.08064,0.913
0.214,0.1323,0.7,-0.0817,0.914
0.215,0.1322,0.7,-0.08276,0.915
0.216,0.1322,0.7,-0.08383,0.916
0.217,0.1321,0.7,-0.08489,0.917
0.218,0.1321,0.7,-0.08595,0.918
0.219,0.132,0.7,-0.08701,0.919
0.22,0.1319,0.7,-0.08807,0.92
0.221,0.1319,0.7,-0.08913,0.921
0.222,0.1318,0.7,-0.09019,0.922
0.223,0.1317,0.7,-0.09125,0.923
0.224,0.1317,0.7,-0.09231,0.924
0.225,0.1316,0.7,-0.09337,0.925
0.226,0.1316,0.7,-0.09443,0.926
0.227,0.1315,0.7,-0.09549,0.927
0.228,0.1315,0.7,-0.09655,0.928
0.229,0.1314,0.7,-0.09761,0.929
0.23,0.1313,0.7,-0.09867,0.93
0.231,0.1313,0.7,-0.09973,0.931
0.232,0.1312,0.7,-0.1008,0.932
0.233,0.1312,0.7,-0.1018,0.933
0.234,0.1311,0.7,-0.1029,0.934
0.235,0.131,0.7,-0.104,0.935
0.236,0.131,0.7,-0.105,0.936
0.237,0.1309,0.7,-0.1061,0.937
0.238,0.1309,0.7,-0.1071,0.938
0.239,0.1308,0.7,-0.1082,0.939
0.24,0.1308,0.7,-0.1092,0.94
0.241,0.1307,0.7,-0.1103,0.941
0.242,0.1306,0.7,-0.1114,0.942
0.243,0.1306,0.7,-0.1124,0.943
0.244,0.1305,0.7,-0.1135,0.944
0.245,0.1305,0.7,-0.1145,0.945
0.246,0.1304,0.7,-0.1156,0.946
0.247,0.1304,0.7,-0.1166,0.947
0.248,0.1303,0.7,-0.1177,0.948
0.249,0.1303,0.7,-0.1187,0.949
0.25,0.1302,0.7,-0.1198,0.95
0.251,0.1301,0.7,-0.1209,0.951
0.252,0.1301,0.7,-0.1219,0.952
0.253,0.13,0.7,-0.123,0.953
0.254,0.13,0.7,-0.124,0.954
0.255,0.1299,0.7,-0.1251,0.955
0.256,0.1299,0.7,-0.1261,0.956
0.257,0.1298,0.7,-0.1272,0.957
0.258,0.1298,0.7,-0.1282,0.958
0.259,0.1297,0.7,-0.1293,0.959
0.26,0.1297,0.7,-0.1303,0.96
0.261,0.1296,0.7,-0.1314,0.961
0.262,0.1296,0.7,-0.1324,0.962
0.263,0.1295,0.7,-0.1335,0.963
0.264,0.1295,0.7,-0.1345,0.964
0.265,0.1294,0.7,-0.1356,0.965
0.266,0.1294,0.7,-0.1366,0.966
0.267,0.1293,0.7,-0.1377,0.967
0.268,0.1292,0.7,-0.1388,0.968
0.269,0.1292,0.7,-0.1398,0.969
0.27,0.1291,0.7,-0.1409,0.97
0.271,0.1291,0.7,-0.1419,0.971
0.272,0.129,0.7,-0.143,0.972
0.273,0.129,0.7,-0.144,0.973
0.274,0.1289,0.7,-0.1451,0.974
0.275,0.1289,0.7,-0.1461,0.975
0.276,0.1288,0.7,-0.1472,0.976
0.277,0.1288,0.7,-0.1482,0.977
0.278,0.1287,0.7,-0.1493,0.978
0.279,0.1287,0.7,-0.1503,0.979
0.28,0.1286,0.7,-0.1514,0.98
0.281,0.1286,0.7,-0.1524,0.981
0.282,0.1285,0.7,-0.1535,0.982
0.283,0.1285,0.7,-0.1545,0.983
0.284,0.1284,0.7,-0.1556,0.984
0.285,0.1284,0.7,-0.1566,0.985
0.286,0.1283,0.7,-0.1577,0.986
0.287,0.1283,0.7,-0.1587,0.987
0.288,0.1282,0.7,-0.1598,0.988
0.289,0.1282,0.7,-0.1608,0.989
0.29,0.1282,0.7,-0.1618,0.99
0.291,0.1281,0.7,-0.1629,0.991
0.292,0.1281,0.7,-0.1639,0.992
0.293,0.128,0.7,-0.165,0.993
0.294,0.128,0.7,-0.166,0.994
0.295,0.1279,0.7,-0.1671,0.995
0.296,0.1279,0.7,-0.1681,0.996
0.297,0.1278,0.7,-0.1692,0.997
0.298,0.1278,0.7,-0.1702,0.998
0.299,0.1277,0.7,-0.1713,0.999
0.3,0.1277,0.7,-0.1723,1.0
0.301,0.1276,0.7,-0.1734,1.001
0.302,0.1276,0.7,-0.1744,1.002
0.303,0.1275,0.7,-0.1755,1.003
0.304,0.1275,0.7,-0.1765,1.004
0.305,0.1274,0.7,-0.1776,1.005
0.306,0.1274,0.7,-0.1786,1.006
0.307,0.1274,0.7,-0.1796,1.007
0.308,0.1273,0.7,-0.1807,1.008
0.309,0.1273,0.7,-0.1817,1.009
0.31,0.1272,0.7,-0.1828,1.01
0.311,0.1272,0.7,-0.1838,1.011
0.312,0.1271,0.7,-0.1849,1.012
0.313,0.1271,0.7,-0.1859,1.013
0.314,0.127,0.7,-0.187,1.014
0.315,0.127,0.7,-0.188,1.015
0.316,0.127,0.7,-0.189,1.016
0.317,0.1269,0.7,-0.1901,1.017
0.318,0.1269,0.7,-0.1911,1.018
