sweep_v,q_v,qb_v
0.621,0.621,2.558e-05
0.622,0.622,2.472e-05
0.623,0.623,2.388e-05
0.624,0.624,2.308e-05
0.625,0.625,2.231e-05
0.626,0.626,2.157e-05
0.627,0.627,2.086e-05
0.628,0.628,2.017e-05
0.629,0.629,1.951e-05
0.63,0.63,1.887e-05
0.631,0.631,1.826e-05
0.632,0.632,1.767e-05
0.633,0.633,1.711e-05
0.634,0.634,1.656e-05
0.635,0.635,1.604e-05
0.636,0.636,1.553e-05
0.637,0.637,1.505e-05
0.638,0.638,1.458e-05
0.639,0.639,1.414e-05
0.64,0.64,1.37e-05
0.641,0.641,1.329e-05
0.642,0.642,1.289e-05
0.643,0.643,1.251e-05
0.644,0.644,1.214e-05
0.645,0.645,1.178e-05
0.646,0.646,1.144e-05
0.647,0.647,1.111e-05
0.648,0.648,1.079e-05
0.649,0.649,1.049e-05
0.65,0.65,1.02e-05
0.651,0.651,9.914e-06
0.652,0.652,9.643e-06
0.653,0.653,9.382e-06
0.654,0.654,9.132e-06
0.655,0.655,8.89e-06
0.656,0.656,8.658e-06
0.657,0.657,8.435e-06
0.658,0.658,8.22e-06
0.659,0.659,8.013e-06
0.66,0.66,7.814e-06
0.661,0.661,7.623e-06
0.662,0.662,7.439e-06
0.663,0.663,7.262e-06
0.664,0.664,7.091e-06
0.665,0.665,6.927e-06
0.666,0.666,6.769e-06
0.667,0.667,6.617e-06
0.668,0.668,6.471e-06
0.669,0.669,6.331e-06
0.67,0.67,6.195e-06
0.671,0.671,6.065e-06
0.672,0.672,5.94e-06
0.673,0.673,5.819e-06
0.674,0.674,5.703e-06
0.675,0.675,5.591e-06
0.676,0.676,5.483e-06
0.677,0.677,5.38e-06
0.678,0.678,5.28e-06
0.679,0.679,5.184e-06
0.68,0.68,5.092e-06
0.681,0.681,5.003e-06
0.682,0.682,4.917e-06
0.683,0.683,4.835e-06
0.684,0.684,4.755e-06
0.685,0.685,4.679e-06
0.686,0.686,4.605e-06
0.687,0.687,4.534e-06
0.688,0.688,4.466e-06
0.689,0.689,4.4e-06
0.69,0.69,4.337e-06
0.691,0.691,4.276e-06
0.692,0.692,4.217e-06
0.693,0.693,4.16e-06
0.694,0.694,4.106e-06
0.695,0.695,4.053e-06
0.696,0.696,4.003e-06
0.697,0.697,3.954e-06
0.698,0.698,3.907e-06
0.699,0.699,3.861e-06
0.7,0.7,3.818e-06
