sweep_v,bl_v,q_v,qb_v
0.458,0.458,0.6939,0.155
0.457,0.457,0.6937,0.155
0.456,0.456,0.6936,0.155
0.455,0.455,0.6935,0.1551
0.454,0.454,0.6933,0.1551
0.453,0.453,0.6932,0.1551
0.452,0.452,0.693,0.1551
0.451,0.451,0.6929,0.1551
0.45,0.45,0.6927,0.1552
0.449,0.449,0.6926,0.1552
0.448,0.448,0.6924,0.1552
0.447,0.447,0.6923,0.1553
0.446,0.446,0.6921,0.1553
0.445,0.445,0.692,0.1553
0.444,0.444,0.6918,0.1553
0.443,0.443,0.6916,0.1554
0.442,0.442,0.6915,0.1554
0.441,0.441,0.6913,0.1554
0.44,0.44,0.6911,0.1555
0.439,0.439,0.6909,0.1555
0.438,0.438,0.6907,0.1555
0.437,0.437,0.6906,0.1556
0.436,0.436,0.6904,0.1556
0.435,0.435,0.6902,0.1556
0.434,0.434,0.69,0.1557
0.433,0.433,0.6898,0.1557
0.432,0.432,0.6896,0.1557
0.431,0.431,0.6894,0.1558
0.43,0.43,0.6892,0.1558
0.429,0.429,0.689,0.1558
0.428,0.428,0.6888,0.1559
0.427,0.427,0.6886,0.1559
0.426,0.426,0.6883,0.1559
0.425,0.425,0.6881,0.156
0.424,0.424,0.6879,0.156
0.423,0.423,0.6877,0.1561
0.422,0.422,0.6874,0.1561
0.421,0.421,0.6872,0.1561
0.42,0.42,0.687,0.1562
0.419,0.419,0.6867,0.1562
0.418,0.418,0.6865,0.1563
0.417,0.417,0.6862,0.1563
0.416,0.416,0.686,0.1564
0.415,0.415,0.6857,0.1564
0.414,0.414,0.6855,0.1565
0.413,0.413,0.6852,0.1565
0.412,0.412,0.685,0.1565
0.411,0.411,0.6847,0.1566
0.41,0.41,0.6844,0.1566
0.409,0.409,0.6842,0.1567
0.408,0.408,0.6839,0.1567
0.407,0.407,0.6836,0.1568
0.406,0.406,0.6833,0.1568
0.405,0.405,0.683,0.1569
0.404,0.404,0.6827,0.157
0.403,0.403,0.6825,0.157
0.402,0.402,0.6822,0.1571
0.401,0.401,0.6819,0.1571
0.4,0.4,0.6816,0.1572
0.399,0.399,0.6813,0.1572
0.398,0.398,0.6809,0.1573
0.397,0.397,0.6806,0.1573
0.396,0.396,0.6803,0.1574
0.395,0.395,0.68,0.1575
0.394,0.394,0.6797,0.1575
0.393,0.393,0.6793,0.1576
0.392,0.392,0.679,0.1576
0.391,0.391,0.6787,0.1577
0.39,0.39,0.6783,0.1578
0.389,0.389,0.678,0.1578
0.388,0.388,0.6776,0.1579
0.387,0.387,0.6773,0.158
0.386,0.386,0.6769,0.158
0.385,0.385,0.6766,0.1581
0.384,0.384,0.6762,0.1582
0.383,0.383,0.6758,0.1582
0.382,0.382,0.6755,0.1583
0.381,0.381,0.6751,0.1584
0.38,0.38,0.6747,0.1585
0.379,0.379,0.6743,0.1585
0.378,0.378,0.6739,0.1586
0.377,0.377,0.6736,0.1587
0.376,0.376,0.6732,0.1588
0.375,0.375,0.6728,0.1588
0.374,0.374,0.6724,0.1589
0.373,0.373,0.6719,0.159
0.372,0.372,0.6715,0.1591
0.371,0.371,0.6711,0.1592
0.37,0.37,0.6707,0.1592
0.369,0.369,0.6703,0.1593
0.368,0.368,0.6698,0.1594
0.367,0.367,0.6694,0.1595
0.366,0.366,0.669,0.1596
0.365,0.365,0.6685,0.1597
0.364,0.364,0.6681,0.1598
0.363,0.363,0.6676,0.1599
0.362,0.362,0.6672,0.16
0.361,0.361,0.6667,0.16
0.36,0.36,0.6663,0.1601
0.359,0.359,0.6658,0.1602
0.358,0.358,0.6653,0.1603
0.357,0.357,0.6648,0.1604
0.356,0.356,0.6644,0.1605
0.355,0.355,0.6639,0.1606
0.354,0.354,0.6634,0.1607
0.353,0.353,0.6629,0.1608
0.352,0.352,0.6624,0.1609
0.351,0.351,0.6619,0.161
0.35,0.35,0.6614,0.1612
0.349,0.349,0.6608,0.1613
0.348,0.348,0.6603,0.1614
0.347,0.347,0.6598,0.1615
0.346,0.346,0.6593,0.1616
0.345,0.345,0.6587,0.1617
0.344,0.344,0.6582,0.1618
0.343,0.343,0.6576,0.1619
0.342,0.342,0.6571,0.1621
0.341,0.341,0.6565,0.1622
0.34,0.34,0.656,0.1623
0.339,0.339,0.6554,0.1624
0.338,0.338,0.6548,0.1626
0.337,0.337,0.6542,0.1627
0.336,0.336,0.6537,0.1628
0.335,0.335,0.6531,0.1629
0.334,0.334,0.6525,0.1631
0.333,0.333,0.6519,0.1632
0.332,0.332,0.6513,0.1633
0.331,0.331,0.6506,0.1635
0.33,0.33,0.65,0.1636
0.329,0.329,0.6494,0.1638
0.328,0.328,0.6488,0.1639
0.327,0.327,0.6481,0.1641
0.326,0.326,0.6475,0.1642
0.325,0.325,0.6468,0.1644
0.324,0.324,0.6462,0.1645
0.323,0.323,0.6455,0.1647
0.322,0.322,0.6448,0.1648
0.321,0.321,0.6442,0.165
0.32,0.32,0.6435,0.1651
0.319,0.319,0.6428,0.1653
0.318,0.318,0.6421,0.1655
0.317,0.317,0.6414,0.1656
0.316,0.316,0.6407,0.1658
0.315,0.315,0.6399,0.166
0.314,0.314,0.6392,0.1662
0.313,0.313,0.6385,0.1663
0.312,0.312,0.6377,0.1665
0.311,0.311,0.637,0.1667
0.31,0.31,0.6362,0.1669
0.309,0.309,0.6355,0.1671
0.308,0.308,0.6347,0.1673
0.307,0.307,0.6339,0.1675
0.306,0.306,0.6331,0.1677
0.305,0.305,0.6323,0.1679
0.304,0.304,0.6315,0.1681
0.303,0.303,0.6307,0.1683
0.302,0.302,0.6298,0.1685
0.301,0.301,0.629,0.1687
0.3,0.3,0.6281,0.169
0.299,0.299,0.6273,0.1692
0.298,0.298,0.6264,0.1694
0.297,0.297,0.6255,0.1697
0.296,0.296,0.6246,0.1699
0.295,0.295,0.6237,0.1701
0.294,0.294,0.6228,0.1704
0.293,0.293,0.6219,0.1707
0.292,0.292,0.6209,0.1709
0.291,0.291,0.62,0.1712
0.29,0.29,0.619,0.1714
0.289,0.289,0.618,0.1717
0.288,0.288,0.617,0.172
0.287,0.287,0.616,0.1723
0.286,0.286,0.615,0.1726
0.285,0.285,0.614,0.1729
0.284,0.284,0.6129,0.1732
0.283,0.283,0.6119,0.1735
0.282,0.282,0.6108,0.1738
0.281,0.281,0.6097,0.1742
0.28,0.28,0.6086,0.1745
0.279,0.279,0.6074,0.1749
0.278,0.278,0.6063,0.1752
0.277,0.277,0.6051,0.1756
0.276,0.276,0.6039,0.176
0.275,0.275,0.6026,0.1763
0.274,0.274,0.6014,0.1767
0.273,0.273,0.6001,0.1772
0.272,0.272,0.5988,0.1776
0.271,0.271,0.5975,0.178
0.27,0.27,0.5961,0.1785
0.269,0.269,0.5947,0.1789
0.268,0.268,0.5933,0.1794
0.267,0.267,0.5919,0.1799
0.266,0.266,0.5904,0.1804
0.265,0.265,0.5888,0.181
0.264,0.264,0.5873,0.1815
0.263,0.263,0.5856,0.1821
0.262,0.262,0.584,0.1827
0.261,0.261,0.5822,0.1834
0.26,0.26,0.5804,0.184
0.259,0.259,0.5785,0.1847
0.258,0.258,0.5766,0.1855
0.257,0.257,0.5746,0.1863
0.256,0.256,0.5724,0.1871
0.255,0.255,0.5702,0.1881
0.254,0.254,0.5678,0.189
0.253,0.253,0.5652,0.1901
0.252,0.252,0.5625,0.1913
0.251,0.251,0.5594,0.1926
0.25,0.25,0.556,0.1942
0.249,0.249,0.5521,0.196
0.248,0.248,0.5474,0.1983
0.247,0.247,0.5405,0.2017
0.246,0.246,0.1072,0.6999
0.245,0.245,0.1069,0.6999
0.244,0.244,0.1066,0.6999
0.243,0.243,0.1063,0.6999
0.242,0.242,0.1059,0.6999
0.241,0.241,0.1056,0.6999
0.24,0.24,0.1053,0.6999
0.239,0.239,0.1049,0.6999
0.238,0.238,0.1046,0.6999
0.237,0.237,0.1043,0.6999
0.236,0.236,0.1039,0.6999
0.235,0.235,0.1036,0.6999
0.234,0.234,0.1032,0.6999
0.233,0.233,0.1029,0.6999
0.232,0.232,0.1026,0.6999
0.231,0.231,0.1022,0.6999
0.23,0.23,0.1019,0.6999
0.229,0.229,0.1015,0.6999
0.228,0.228,0.1012,0.6999
0.227,0.227,0.1008,0.6999
0.226,0.226,0.1005,0.6999
0.225,0.225,0.1001,0.6999
0.224,0.224,0.09977,0.6999
0.223,0.223,0.09941,0.6999
0.222,0.222,0.09906,0.6999
0.221,0.221,0.0987,0.6999
0.22,0.22,0.09834,0.6999
0.219,0.219,0.09798,0.6999
0.218,0.218,0.09762,0.6999
0.217,0.217,0.09726,0.6999
0.216,0.216,0.09689,0.6999
0.215,0.215,0.09653,0.6999
0.214,0.214,0.09616,0.6999
0.213,0.213,0.09579,0.6999
0.212,0.212,0.09542,0.6999
0.211,0.211,0.09505,0.6999
0.21,0.21,0.09468,0.6999
0.209,0.209,0.09431,0.6999
0.208,0.208,0.09394,0.6999
0.207,0.207,0.09356,0.6999
0.206,0.206,0.09319,0.6999
0.205,0.205,0.09281,0.6999
0.204,0.204,0.09243,0.6999
0.203,0.203,0.09205,0.6999
