noise_v,q_v,qb_v,gq_v,gqb_v
0.204,0.7,0.1349,0.904,-0.06906
0.205,0.7,0.1349,0.905,-0.07012
0.206,0.7,0.1348,0.906,-0.07119
0.207,0.7,0.1348,0.907,-0.07225
0.208,0.7,0.1347,0.908,-0.07331
0.209,0.7,0.1346,0.909,-0.07437
0.21,0.7,0.1346,0.91,-0.07544
0.211,0.7,0.1345,0.911,-0.0765
0.212,0.7,0.1344,0.912,-0.07756
0.213,0.7,0.1344,0.913,-0.07862
0.214,0.7,0.1343,0.914,-0.07968
0.215,0.7,0.1343,0.915,-0.08075
0.216,0.7,0.1342,0.916,-0.08181
0.217,0.7,0.1341,0.917,-0.08287
0.218,0.7,0.1341,0.918,-0.08393
0.219,0.7,0.134,0.919,-0.08499
0.22,0.7,0.134,0.92,-0.08605
0.221,0.7,0.1339,0.921,-0.08711
0.222,0.7,0.1338,0.922,-0.08817
0.223,0.7,0.1338,0.923,-0.08923
0.224,0.7,0.1337,0.924,-0.09029
0.225,0.7,0.1337,0.925,-0.09135
0.226,0.7,0.1336,0.926,-0.0924
0.227,0.7,0.1335,0.927,-0.09346
0.228,0.7,0.1335,0.928,-0.09452
0.229,0.7,0.1334,0.929,-0.09558
0.23,0.7,0.1334,0.93,-0.09664
0.231,0.7,0.1333,0.931,-0.09769
0.232,0.7,0.1332,0.932,-0.09875
0.233,0.7,0.1332,0.933,-0.09981
0.234,0.7,0.1331,0.934,-0.1009
0.235,0.7,0.1331,0.935,-0.1019
0.236,0.7,0.133,0.936,-0.103
0.237,0.7,0.133,0.937,-0.104
0.238,0.7,0.1329,0.938,-0.1051
0.239,0.7,0.1328,0.939,-0.1062
0.24,0.7,0.1328,0.94,-0.1072
0.241,0.7,0.1327,0.941,-0.1083
0.242,0.7,0.1327,0.942,-0.1093
0.243,0.7,0.1326,0.943,-0.1104
0.244,0.7,0.1326,0.944,-0.1114
0.245,0.7,0.1325,0.945,-0.1125
0.246,0.7,0.1325,0.946,-0.1135
