tag,round_name,u0,xl,dvtshift,delta_wgaa,delta_tgaa,eot_0,loss,log_rmse_all,log_rmse_low,log_rmse_mid,rel_rmse_high,lin_rmse,max_rel_err_high,status
fit_c020,coarse,0.01,1.2e-08,0.0,0.0,0.0,9.000000000000001e-10,0.3794890418738093,0.26584389012233145,0.3721668121633889,0.19413920649104152,0.45458060700591135,5.8405377171307604e-06,0.5212463799430549,ok
fit_c033,coarse,0.025,1.2e-08,0.04,0.0,0.0,9.000000000000001e-10,0.38212573742594214,0.3001052382124115,0.5801236456117077,0.2504579090061149,0.32808199685412254,3.6234945052611335e-06,0.5202910601214422,ok
fit_c057,coarse,0.03,1.2e-08,0.04,0.0,0.0,9.5e-10,0.3954197255219952,0.25443768896345664,0.40374162080010634,0.22675054288674956,0.5639281462341543,6.478811081705242e-06,0.8048481564530734,ok
fit_l234,local,0.02,2e-08,-0.02,0.0,-1e-09,9.5e-10,0.4008177381834968,0.34442102705362876,0.6949109341527894,0.2670288516748181,0.2255868445194721,3.0557086903387477e-06,0.29879788956212017,ok
fit_l312,local,0.016,1.6e-08,0.0,0.0,0.0,9.975000000000001e-10,0.4065989837755212,0.3347262042418586,0.6463900189353177,0.2707946759704389,0.28749111813465045,3.8026119413965747e-06,0.3560710158677935,ok
fit_c000,coarse,0.01,1.2e-08,0.0,0.0,0.0,8.500000000000001e-10,0.40860332351544076,0.2968361682038053,0.4657897934478589,0.224890223937373,0.44706862124654184,5.755195756300556e-06,0.5151476077130301,ok
fit_c016,coarse,0.03,1.2e-08,0.0,0.0,0.0,8.500000000000001e-10,0.40860583498858427,0.2333744436440762,0.015716042935088905,0.29001756443694493,0.7009255653780323,8.185731934964766e-06,1.0724910197859714,ok
fit_c036,coarse,0.03,1.2e-08,0.0,0.0,0.0,9.000000000000001e-10,0.4104454108164254,0.24109592971045282,0.1043213680737101,0.3032872398576342,0.6773979244238901,7.937767936519796e-06,1.0446322830821755,ok
fit_c009,coarse,0.02,1.2e-08,0.04,0.0,0.0,8.500000000000001e-10,0.4126145887335883,0.3844326843706872,0.7745868067467633,0.3258527958117209,0.11272761745160431,1.189601561286664e-06,0.23075918937841894,ok
fit_l362,local,0.02,1.6e-08,0.02,0.0,-1e-09,9.975000000000001e-10,0.41726201536272695,0.3764400192804485,0.7518015816100366,0.31859530250122303,0.16328798432911373,2.27260827259408e-06,0.22880973164647492,ok
fit_c056,coarse,0.03,1.2e-08,0.0,0.0,0.0,9.5e-10,0.42019095919975263,0.25633941576973984,0.19714597224304786,0.3190866022533164,0.6554061737200512,7.707774252781769e-06,1.0187634561429362,ok
fit_c045,coarse,0.015,1.2e-08,0.04,0.0,0.0,9.5e-10,0.42310237983490423,0.3638642345273387,0.703996962790329,0.3165147938339992,0.23695258123026214,3.1889532842605713e-06,0.30584072306306564,ok
fit_l098,local,0.016,1.6e-08,0.0,0.0,-1e-09,9.024999999999999e-10,0.4273414980367258,0.35534038418734704,0.690891959903559,0.2876571575666144,0.288004455397515,3.8225400473252585e-06,0.360448507262302,ok
fit_c013,coarse,0.025,1.2e-08,0.04,0.0,0.0,8.500000000000001e-10,0.43323494033429527,0.3467844012658316,0.6779458865674608,0.28811297167208283,0.34580215627385474,3.8166911454956724e-06,0.5372052931201756,ok
