tag,U0,XL,DVTSHIFT,DeltaWGAA,DeltaTGAA,loss,log_rmse_vd005,log_rmse_vd070,log_rmse_all,rel_rmse_high_vd005,rel_rmse_high_vd070,max_abs_log_err,status
eval_0020,0.2529644168222432,-2.8442624753322506e-09,0.7745836052519979,1.486139444938795e-08,-1.5912087385027194e-09,6.766888460823016,3.2567205873163796,2.273408025065302,2.8277311426034144,24.68854829379581,1.5725004943348682,7.133754141120714,ok
eval_0021,0.0016001138935613371,3.7235378647639886e-08,-0.4827166199219751,-1.0335307515739857e-08,2.913627354960471e-10,295.0884619426846,294.20311419116274,295.42127986518716,294.78846194268465,1.0,1.0,296.77882709744586,ok
eval_0022,0.03257997477084568,4.849956971655879e-09,-0.24077872803526681,1.3958107381788406e-08,-6.206100987705315e-10,2.4133095769403647,2.427492094655481,1.8154326313514948,2.1555034676168154,1.1465450011839535,0.5721623943063741,6.047884385284504,ok
eval_0023,0.019118450739671337,7.21860768622546e-09,-0.06373871400241544,-4.320923768785396e-09,-8.932519856002609e-11,0.7350017874326976,0.5049768795890064,0.6308406806823743,0.5688775266715487,0.43589048176762524,0.6716045899733674,1.600711634374175,ok
eval_0024,0.0007435346628561841,1.1041654124222142e-08,0.5460441755227997,-6.482758360275477e-09,6.129650575479438e-10,295.0884619426846,294.20311419116274,295.42127986518716,294.78846194268465,1.0,1.0,296.77882709744586,ok
eval_0025,0.0627872576177369,2.8019531219569692e-08,-0.6375716665069288,-1.0477704917285328e-08,-1.6912930621025377e-09,295.0884619426846,294.20311419116274,295.42127986518716,294.78846194268465,1.0,1.0,296.77882709744586,ok
eval_0026,0.694178085257013,-1.6288445979184339e-09,0.2693568684121825,7.258946060710551e-09,-2.0232085868428353e-10,12.443496178740814,3.5306918774932416,2.676525730422262,3.1497345066954887,53.76745086313456,8.19096028383428,7.451938161791169,ok
eval_0027,0.8135795871900021,-1.2422052287667178e-09,-0.7145089185618304,-1.3123836089487861e-09,1.5237663931274686e-09,7.973742261845595,3.207034091199942,2.264345244502604,2.794516002768,31.442330456462937,3.0858446040543597,6.937330818443929,ok
eval_0028,0.0007187241123188357,2.006962390185294e-08,0.38207533647569536,-7.336433584511211e-10,4.982011391603613e-10,5.2659639610493585,5.000976066535707,4.933015477286755,4.968470997901172,0.9884005263325414,0.9948858946553686,8.021220913813977,ok
eval_0029,0.0001140803288283166,1.7236065727660634e-08,-0.20795411639346978,-9.489358596915523e-09,-4.902688587409419e-10,295.0884619426846,294.20311419116274,295.42127986518716,294.78846194268465,1.0,1.0,296.77882709744586,ok
eval_0030,0.06528432192911125,1.4403521788358342e-09,0.5971300782364505,-9.218527441078006e-09,-1.6252280319838416e-09,295.0884619426846,294.20311419116274,295.42127986518716,294.78846194268465,1.0,1.0,296.77882709744586,ok
eval_0031,0.009407297403539003,2.215894802457989e-09,0.1101214126895238,-1.2440767552607498e-08,-1.0893608547019375e-09,295.0884619426846,294.20311419116274,295.42127986518716,294.78846194268465,1.0,1.0,296.77882709744586,ok
