tag,U0,XL,DVTSHIFT,DeltaWGAA,DeltaTGAA,loss,log_rmse_vd005,log_rmse_vd070,log_rmse_all,rel_rmse_high_vd005,rel_rmse_high_vd070,max_abs_log_err,status
eval_0029,0.016436566352812796,1.6832360979712747e-11,0.3113486370849812,2.0201929490864617e-09,1.4198551577049723e-09,1.1704758756583102,1.2415126909688328,0.9934982570221539,1.1379769552444858,0.01950892496457698,0.19715054446091862,2.4356786564458996,ok
eval_0030,0.4425700498767654,-2.3739367930248747e-09,0.244445734253436,4.776132759974868e-09,1.3762507964990438e-09,8.491188113293063,3.366769422686892,2.610848772949132,3.0539920502795663,31.800775826350264,4.447197927073043,6.513863391932602,ok
eval_0031,0.13322005054931146,2.4013498841332503e-08,-0.47116178288690613,8.215002778587611e-09,1.2476700438267808e-09,3.2172022842061816,2.655901715530647,2.246459983340833,2.4822794058821547,3.3309229707439876,1.5685628847495252,5.631498023036059,ok
eval_0032,0.0010673335267028393,-3.239743839484074e-09,0.06443509548384423,-5.138199827074093e-09,-1.7199918066171116e-10,294.94007333717764,294.0624084387619,295.3605656909917,294.6400733371777,1.0,1.0,296.7289626356506,ok
eval_0033,0.007048824638033333,3.223650292957066e-09,0.6065719817907308,5.761090241574056e-09,-1.543421698215628e-10,1.471023202513916,1.330774753210471,1.2105461377708007,1.2787361393014047,0.6231799684707056,0.6587337862793697,3.078905272938681,ok
eval_0034,0.28647638930443675,-4.3278766259591746e-09,0.3851369660077831,7.768187052257766e-09,6.96546530291196e-10,9.566366574300948,3.5055548807802914,2.9036754497799384,3.2518353720361866,33.719858595671035,8.377016086094034,6.827276784688744,ok
eval_0035,0.0007457621659732675,3.134814548564349e-08,0.31352241080204096,1.9777137206895946e-09,1.022560618251867e-09,5.95640114175493,6.259609938159752,4.803236522372055,5.658797548448462,0.9905559083212226,0.9934680470552348,9.316935031407752,ok
eval_0036,0.0002173924299790075,3.698975191517654e-08,0.3860455224199679,1.4823485490053445e-08,4.636666952041102e-11,2.97644401430364,2.6325842667397277,2.7328910333141763,2.6776289927907784,0.9955455457822393,0.9965545976368377,3.251411691075777,ok
eval_0037,0.0009752414797503916,3.063722582307058e-09,-0.7387632192482475,-1.0521871722199465e-08,8.756352778505999e-10,294.94007333717764,294.0624084387619,295.3605656909917,294.6400733371777,1.0,1.0,296.7289626356506,ok
eval_0038,0.6328279610538255,2.122520503700599e-08,-0.07396403419079843,6.333410881215926e-09,7.649441748508999e-10,4.588059567585201,2.334386068941675,1.6418214583315127,2.0555913558037555,14.989657537745346,1.8934638741309577,3.9622048085420296,ok
eval_0039,0.10413697728581106,2.1188992134906672e-08,-0.3790570761407298,7.48584808858996e-09,1.2679369425351426e-09,2.9417003440068,2.5472379088509367,2.1462232394183416,2.3773748733310844,2.5283022812785108,1.233867523226259,5.380479936124258,ok
eval_0040,0.0011267875524621734,3.6514610997842002e-09,0.6459567363891603,6.260150781618417e-09,1.0533154873205182e-09,1.4247288200663168,1.0949363875110854,1.1981702639728558,1.1419708300105207,0.9396586589851667,0.9453946080534742,1.8468416835890187,ok
eval_0041,0.05785431644685153,-1.2743738041179357e-09,-0.4530937047225434,1.0305902860791217e-08,8.795447827196519e-10,4.300553668028356,2.8977648157741784,2.763338997496629,2.838805975484852,5.273359124368711,4.4716254925879815,6.6668805141595815,ok
