Vg,Vd,Id
1.145,0.7,0.000382
1.15,0.7,0.000384
1.155,0.7,0.0003861
1.16,0.7,0.0003881
1.165,0.7,0.0003901
1.17,0.7,0.0003922
1.175,0.7,0.0003942
1.18,0.7,0.0003962
1.185,0.7,0.0003982
1.19,0.7,0.0004002
1.195,0.7,0.0004021
1.2,0.7,0.0004041
1.205,0.7,0.0004061
1.21,0.7,0.000408
1.215,0.7,0.00041
1.22,0.7,0.0004119
1.225,0.7,0.0004139
1.23,0.7,0.0004158
1.235,0.7,0.0004177
1.24,0.7,0.0004196
1.245,0.7,0.0004215
1.25,0.7,0.0004234
1.255,0.7,0.0004253
1.26,0.7,0.0004272
1.265,0.7,0.0004291
1.27,0.7,0.0004309
1.275,0.7,0.0004328
1.28,0.7,0.0004346
1.285,0.7,0.0004365
1.29,0.7,0.0004383
1.295,0.7,0.0004401
1.3,0.7,0.0004419
1.305,0.7,0.0004438
1.31,0.7,0.0004456
1.315,0.7,0.0004473
1.32,0.7,0.0004491
1.325,0.7,0.0004509
1.33,0.7,0.0004527
1.335,0.7,0.0004544
1.34,0.7,0.0004562
1.345,0.7,0.0004579
1.35,0.7,0.0004596
1.355,0.7,0.0004614
1.36,0.7,0.0004631
1.365,0.7,0.0004648
1.37,0.7,0.0004665
1.375,0.7,0.0004682
1.38,0.7,0.0004698
1.385,0.7,0.0004715
1.39,0.7,0.0004732
1.395,0.7,0.0004748
1.4,0.7,0.0004765
1.405,0.7,0.0004781
1.41,0.7,0.0004797
1.415,0.7,0.0004814
1.42,0.7,0.000483
